system,model,L_inf,L_2,G,delta,delta_test,delta_test_over_delta,h_cert,h_cert_lyap,n_windows,n_censored,median_Hw,min_Hw,violations,ratio_h_cert_over_median_Hw,h_cert_delta_x1.5,violations_delta_x1.5,delta_disjoint_calib,h_cert_delta_disjoint,violations_delta_disjoint,eval_seconds
lorenz,linear,5.685619500199621,3.210091809304533,5.685619500199621,0.004555147497652623,0.0029087328567789505,0.6385595325459583,4.0,0.03624,500,0,20.0,10.0,0,0.2,4.0,0,0.002511967686789074,4.0,0,0.31642842292785645
lorenz,mlp,25.801516705886026,2.3714527641685277,25.801516705886026,0.1670827610804304,0.10870574685496104,0.6506101895373407,2.0,0.01812,500,0,22.0,5.0,0,0.09090909090909091,2.0,0,0.09073458450298322,2.0,0,5.819319486618042
rossler,linear,5.463149497567279,3.085520524336511,5.463149497567279,0.010985774963591766,0.010766534492817614,0.9800432403266277,4.0,0.014199999999999997,500,0,39.5,8.0,0,0.10126582278481013,3.0,0,0.006149591506334651,4.0,0,0.33760762214660645
rossler,mlp,26.40948549361995,2.4156979766147884,26.40948549361995,0.13903361551895704,0.13870035460092947,0.9976030191203499,2.0,0.007099999999999999,500,0,15.0,3.0,0,0.13333333333333333,2.0,0,0.10716333715865661,2.0,0,5.753650188446045
